ShortRange 0.016175 0.001030 3.755104 0.000335
Kinetic 0.154934 0.000214 4.124934 0.000073
Shift 0.062723 0.000323 3.983690 0.000109
electronBlock 0.085722 0.004800 3.733815 0.001559
Energy 0.768898 0.004681 3.712800 0.001516
TimeAnalysis 0.000333 0.000003 4.190055 0.000001
PairCorrelation_ep 0.049083 0.000221 3.505706 0.000073
