0.151515 1830.061364 34.503832
0.324675 1281.743152 20.921175
0.518341 880.924811 14.057535
0.716626 595.039763 8.836729
0.916542 402.279480 5.221924
1.117216 271.227385 3.028038
1.318301 181.922862 1.667395
1.519634 122.466459 0.919347
1.721128 82.257405 0.482930
1.922733 55.302876 0.396561
2.124416 37.186677 0.377105
2.326158 25.099516 0.357648
2.527945 16.944014 0.317571
2.729766 11.401326 0.285251
2.931614 7.644998 0.223952
3.133485 5.158992 0.189808
3.335373 3.499454 0.173508
3.537277 2.338576 0.141412
3.739193 1.566679 0.117872
3.941120 1.059361 0.094376
4.143056 0.706535 0.074249
4.345000 0.478475 0.056762
4.546951 0.324583 0.045765
4.748907 0.212343 0.034736
4.950869 0.144310 0.027857
5.152835 0.096770 0.021782
5.354806 0.065772 0.016199
5.556780 0.044235 0.013129
5.758757 0.032200 0.011191
5.960737 0.022450 0.008815
6.162720 0.015319 0.006934
6.364705 0.010855 0.005922
6.566692 0.007912 0.004641
6.768682 0.005508 0.003463
6.970673 0.003825 0.002954
7.172666 0.002770 0.002286
7.374660 0.001867 0.001670
7.576655 0.001670 0.001574
7.778652 0.001227 0.001187
7.980650 0.000921 0.000913
8.182649 0.000658 0.000651
8.384650 0.000381 0.000378
8.586651 0.000347 0.000344
8.788653 0.000235 0.000233
8.990656 0.000094 0.000094
9.192659 0.000051 0.000050
9.394663 0.000003 0.000003
9.596668 0.000005 0.000005
9.798674 0.000004 0.000004
